fold,n_test,n_test_events,n_features,C_RSF,C_GBS,C_XGB,C_DS,C_Linear,C_GAM,OOF_RSF,OOF_GBS,OOF_XGB,OOF_DS,IBS_GAM,IBS_Linear,IBS_RSF,IBS_GBS,AUC_GAM,AUC_Linear,AUC_RSF,AUC_GBS,AUC_XGB,AUC_DS
1,101,37,25,0.601640838650866,0.5446672743846855,0.5535551504102096,0.5929808568824065,0.6093892433910666,0.6385597082953509,0.7042474391912181,0.6495946081211839,0.5601748356744853,0.6847953021253879,0.1808520436962152,0.20488373239154786,0.20160655038952663,0.24707785092759166,0.6870819916492005,0.6319931832945807,0.6251529698233652,0.5630803832070996,0.5637805064589769,0.6197654437736477
2,100,36,28,0.5836512261580381,0.5841961852861035,0.6204359673024523,0.5923705722070844,0.5836512261580381,0.6038147138964578,0.6533794943463347,0.6214267564477195,0.5600304916783128,0.634417481895566,0.18531239430072083,0.19655360871119554,0.1820161765045148,0.19436719131428948,0.5949930032958657,0.5747775205715602,0.5747775205715602,0.5753227495267248,0.6513657582132668,0.5842678992199055
3,100,36,23,0.6245430809399478,0.5890339425587467,0.5389033942558746,0.6798955613577023,0.64177545691906,0.6052219321148825,0.6578432943438551,0.6527159109117129,0.6262457939432783,0.6541900336484537,0.18378966033443922,0.17996338998753877,0.1822769278710691,0.20588309935940982,0.6307657999540252,0.6689755148211904,0.6486252828509408,0.6147743020156724,0.5469909111728837,0.708243643215777
4,100,36,27,0.7063106796116505,0.7184466019417476,0.6456310679611651,0.7160194174757282,0.7160194174757282,0.7184466019417476,0.6595242531519782,0.6420408670268928,0.5604931370722316,0.6176324451897398,0.1369540109284802,0.13344860420818477,0.13473112153533168,0.1309480545437656,0.7250566504007123,0.7412502463874807,0.7425313475172902,0.7327732978617904,0.6941307377930446,0.7240223893641102
5,100,36,24,0.5805022156573116,0.5903495814869523,0.6536189069423929,0.5987198424421467,0.585918266863614,0.6026587887740029,0.7033594259621657,0.6935746901500326,0.5553163731245923,0.7053489889106328,0.1954375269723053,0.2047513159877845,0.2035157137444321,0.20671046443904237,0.6137630017583109,0.5943956810002949,0.5788565594831747,0.5863869550123451,0.6745457046944172,0.6126663224435754
