model,nonlin_frac,rmsd
DeepSurv,0.4242622701422869,0.27606549691913385
GBS,0.40226451448774536,0.15308721026696734
RSF,0.3494031267529849,0.20800910661469948
XGB,0.3368242953729585,0.25355980527072874
