df,Mean_C,Std_C,Fold1,Fold2,Fold3,Fold4,Fold5
3,0.6096569035169306,0.061424454464840406,0.6093892433910666,0.5591280653950954,0.589556135770235,0.7269417475728155,0.5632693254554406
4,0.6198342499227156,0.03813633260154438,0.6362807657247037,0.6190735694822889,0.5738903394255874,0.6820388349514563,0.5878877400295421
5,0.611665487008084,0.05189406008142612,0.6303555150410209,0.5760217983651226,0.5691906005221932,0.7057038834951457,0.5770556376169375
6,0.6088198915336885,0.044525852487070174,0.6294439380127621,0.5956403269754769,0.5514360313315927,0.6826456310679612,0.5849335302806499
