boot_lin_minus_gam,boot_rsf_minus_gam,boot_gam_minus_lin_c
0.0018736669121881266,0.002656652596054826,-0.007816443154406438
0.013022594819264738,0.008813618593879025,-0.0038925036098315102
-0.0010057402984615105,-2.064277413776905e-05,-0.007816443154406438
0.004437506059343066,0.0047168678291098776,-0.0038925036098315102
0.007451003010818108,0.00436017076254272,-0.01741398044161868
-0.0011340857491035639,0.00026341999777357294,0.00925229433186081
0.007386830285497109,0.004502202148498391,0.002842366188506973
0.010079014883294074,0.006278354609642073,0.020219017950285578
0.010458755672109799,0.0067534033608239175,0.0010409707553339365
0.0015580988486934289,0.0020395724589173103,0.020219017950285578
0.00482299113834217,0.0024419869154433393,0.014562447587121108
0.0074452587206347565,0.007110100427391131,0.017733029351506335
0.004507423074847444,0.0018249067783057682,-0.009617838587579253
0.010400327236972151,0.004145505081931206,0.010621480663073224
0.007445258720634729,0.007110100427391103,-0.015612585008445867
0.0022648962813706097,-0.0023681579824601506,0.008567701166254826
0.007065517931819004,0.006635051676209258,0.005705033677380733
0.007515175736139135,0.004218139376587049,0.01704843618590035
0.0070712622220023835,0.003885122011360903,0.015987164130199294
0.007900660815138183,0.0019432584629204275,0.020219017950285578
0.012637109740265634,0.011088499507545563,0.001725563920940032
-0.0035695794456165053,-0.002080858007192904,0.0010409707553339365
-0.0007486006701044878,-0.002011460915893021,0.014224271529419075
0.015902002029914403,0.01149091396407162,0.005705033677380844
-0.0010699130237825372,0.00012138861181790195,-0.013866719787138715
0.0018736669121880989,0.002656652596054798,0.01953442478467937
0.0018094941868671277,0.0027986839820105247,-0.007816443154406438
0.007836488089817212,0.0020852898488761262,0.022397092273553132
0.007456747301001487,0.0016102410976942816,0.008191022276159976
0.015586433966419677,0.010873833826934076,0.005705033677380844
0.007456747301001487,0.0016102410976942816,0.014224271529419075
0.0018736669121880989,0.002656652596054798,0.005705033677380844
-0.0011340857491035639,0.00026341999777357294,0.01667175729580528
0.01597191904541878,0.00859895291326751,-0.0067551710987053815
0.007509431445955783,0.006968069041435432,0.0010409707553339365
0.004437506059343066,0.0047168678291098776,-0.0014065150110523783
0.004437506059343094,0.004716867829109905,0.0024271844660194164
0.010785812315971283,0.0018706241682646396,0.001725563920940143
0.0020077566530134483,-0.0003773398407050377,0.009936887497467017
0.01597191904541878,0.008598952913267538,0.009252294331860922
0.0018794112023714782,-9.327706879364017e-05,0.02308168543915945
0.004957080879167547,-0.0005920055213164688,0.004588231409814014
-0.00062025521946249,-0.0022955236878043905,-0.0042691824999262495
0.012958422093943711,0.008955649979834696,-0.006070577933099397
0.004887163863663169,0.002299955529487613,0.009936887497467017
0.007386830285497109,0.004502202148498363,-0.014551312952744588
0.004437506059343094,0.004716867829109905,-2.030130036700939e-05
-0.00062025521946249,-0.0022955236878043905,0.012422876096246038
0.0074452587206347565,0.007110100427391131,-0.01030243175318546
0.0074452587206347565,0.007110100427391131,0.007074220008593146
0.0103945829467888,0.006895434746779644,0.00035637758972784095
0.012952677803760332,0.011705579644683078,0.009252294331860922
0.010079014883294074,0.006278354609642101,0.005328354787285994
-0.0007486006701044878,-0.002011460915892993,0.0039036382442076967
0.012958422093943711,0.008955649979834696,-0.015612585008445867
0.00738108599531373,0.007252131813346802,-0.0053689573880200125
-0.0007486006701044601,-0.0020114609158929653,0.01418576869702648
0.004373333334022067,0.004858899215065576,0.01593163391833341
0.007456747301001487,0.0016102410976942816,0.015987164130199405
0.007386830285497137,0.004502202148498391,-0.007439764264311588
0.010014842157973047,0.006420385995597772,0.024883080872332264
0.013343907172942843,0.00668076906616813,0.0010409707553341585
0.007900660815138238,0.0019432584629204275,0.015987164130199294
-0.0009415675731405393,-0.00016267416009349556,-0.0018216967335398238
0.010079014883294074,0.006278354609642101,0.01667175729580539
0.013343907172942843,0.00668076906616813,0.002842366188507084
0.004828735428525521,-0.000307942749405099,0.00887561544176596
0.010084759173477426,0.003528424944793662,0.010638508042546069
0.0019435839276924771,-0.00023530845474931117,-0.0067551710987052704
0.015586433966419677,0.010873833826934076,0.0039036382442079187
0.007386830285497109,0.004502202148498391,-0.004953775665532456
0.012637109740265634,0.011088499507545563,0.02308168543915945
0.012642854030449013,0.008338569842697152,0.018849831619073165
0.00482299113834217,0.0024419869154433393,0.011053689765033847
0.0048929081538464925,-0.00044997413536082553,0.01953442478467915
0.007900660815138238,0.0019432584629204275,0.01704843618590013
0.015586433966419677,0.010873833826934076,0.009252294331860922
0.018144528823391237,0.01568397872483754,0.009252294331860922
0.004887163863663169,0.0022999555294876406,0.0010409707553339365
0.01597191904541878,0.00859895291326751,0.00925229433186081
0.004507423074847444,0.0018249067783057682,0.021712499107947147
0.009944925142468669,0.009312347046401881,0.011053689765033847
0.018915498981389445,0.011134216897504434,0.0035269593541130684
0.007451003010818108,0.00436017076254272,-0.01741398044161868
-0.0010699130237825372,0.00012138861181787419,0.015247040752727314
0.012637109740265634,0.011088499507545563,0.008191022276159976
0.010009097867789696,0.009170315660446182,0.002842366188506973
0.012958422093943711,0.008955649979834696,0.013539678363812868
0.007386830285497109,0.004502202148498363,-0.0014065150110523783
0.00489290815384652,-0.00044997413536082553,0.008567701166254715
